epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,126.049,1.63821,2.45072,1.35523,0.7333,0.6999,0.6825,0.32328,2.24886,2.34569,1.48269,0.0009506,0.0009506,0.0009506
55,128.394,1.54213,2.08701,1.26228,0.7333,0.6999,0.6825,0.32328,2.24886,2.34569,1.48269,0.0009308,0.0009308,0.0009308
56,130.631,1.57764,2.27651,1.3989,0.7333,0.6999,0.6825,0.32328,2.24886,2.34569,1.48269,0.000911,0.000911,0.000911
57,132.94,1.94898,2.38172,1.47029,0.7333,0.6999,0.6825,0.32328,2.24886,2.34569,1.48269,0.0008912,0.0008912,0.0008912
58,135.316,1.7491,2.43757,1.32154,1,0.7415,0.745,0.3359,2.12953,2.42478,1.40685,0.0008714,0.0008714,0.0008714
59,137.601,1.67838,2.44418,1.42624,1,0.7415,0.745,0.3359,2.12953,2.42478,1.40685,0.0008516,0.0008516,0.0008516
60,139.963,1.52928,2.20684,1.40972,1,0.7415,0.745,0.3359,2.12953,2.42478,1.40685,0.0008318,0.0008318,0.0008318
61,142.36,1.46817,2.44526,1.21843,1,0.7415,0.745,0.3359,2.12953,2.42478,1.40685,0.000812,0.000812,0.000812
62,144.732,1.52594,2.20704,1.41368,1,0.71232,0.745,0.35628,2.01418,2.51165,1.46764,0.0007922,0.0007922,0.0007922
63,147.158,1.54002,2.12831,1.37558,1,0.71232,0.745,0.35628,2.01418,2.51165,1.46764,0.0007724,0.0007724,0.0007724
64,149.56,1.44395,1.94946,1.28784,1,0.71232,0.745,0.35628,2.01418,2.51165,1.46764,0.0007526,0.0007526,0.0007526
65,151.869,1.78202,2.25232,1.36257,1,0.71232,0.745,0.35628,2.01418,2.51165,1.46764,0.0007328,0.0007328,0.0007328
66,154.178,1.36661,2.01786,1.24803,0.71368,0.75,0.6825,0.33507,1.82984,2.50497,1.58632,0.000713,0.000713,0.000713
67,156.461,1.21918,2.0803,1.26058,0.71368,0.75,0.6825,0.33507,1.82984,2.50497,1.58632,0.0006932,0.0006932,0.0006932
68,158.75,1.42465,2.25913,1.39906,0.71368,0.75,0.6825,0.33507,1.82984,2.50497,1.58632,0.0006734,0.0006734,0.0006734
69,161.07,1.53951,2.18096,1.37456,0.71368,0.75,0.6825,0.33507,1.82984,2.50497,1.58632,0.0006536,0.0006536,0.0006536
70,163.362,1.45818,1.90713,1.21121,0.53688,0.75,0.56167,0.2806,1.75704,2.49794,1.59905,0.0006338,0.0006338,0.0006338
71,165.653,1.62784,1.9864,1.30525,0.53688,0.75,0.56167,0.2806,1.75704,2.49794,1.59905,0.000614,0.000614,0.000614
72,167.959,1.31724,2.31436,1.25577,0.53688,0.75,0.56167,0.2806,1.75704,2.49794,1.59905,0.0005942,0.0005942,0.0005942
73,170.271,1.51064,2.1005,1.3,0.53688,0.75,0.56167,0.2806,1.75704,2.49794,1.59905,0.0005744,0.0005744,0.0005744
74,172.594,1.5293,2.1379,1.31534,0.57882,0.69706,0.48,0.16683,1.75937,2.96164,1.37911,0.0005546,0.0005546,0.0005546
75,174.89,1.34941,2.06161,1.30392,0.57882,0.69706,0.48,0.16683,1.75937,2.96164,1.37911,0.0005348,0.0005348,0.0005348
76,177.143,1.27658,2.13983,1.24805,0.57882,0.69706,0.48,0.16683,1.75937,2.96164,1.37911,0.000515,0.000515,0.000515
77,179.483,1.37966,2.05713,1.2833,0.57882,0.69706,0.48,0.16683,1.75937,2.96164,1.37911,0.0004952,0.0004952,0.0004952
78,181.845,1.44236,2.30449,1.29351,0.65306,0.47959,0.42375,0.21817,1.38764,2.69008,1.15236,0.0004754,0.0004754,0.0004754
79,184.184,1.3393,2.15434,1.27379,0.65306,0.47959,0.42375,0.21817,1.38764,2.69008,1.15236,0.0004556,0.0004556,0.0004556
80,186.516,1.23558,2.01766,1.20038,0.65306,0.47959,0.42375,0.21817,1.38764,2.69008,1.15236,0.0004358,0.0004358,0.0004358
81,188.816,1.45098,2.00344,1.26538,0.65306,0.47959,0.42375,0.21817,1.38764,2.69008,1.15236,0.000416,0.000416,0.000416
82,191.156,1.50569,2.43236,1.29926,0.3567,0.75,0.45929,0.3215,1.48903,2.46134,1.1612,0.0003962,0.0003962,0.0003962
83,193.454,1.36266,2.04921,1.33829,0.3567,0.75,0.45929,0.3215,1.48903,2.46134,1.1612,0.0003764,0.0003764,0.0003764
84,195.837,1.4506,1.93464,1.27878,0.3567,0.75,0.45929,0.3215,1.48903,2.46134,1.1612,0.0003566,0.0003566,0.0003566
85,198.154,1.51183,2.27577,1.25908,0.3567,0.75,0.45929,0.3215,1.48903,2.46134,1.1612,0.0003368,0.0003368,0.0003368
86,200.442,1.42345,2.15881,1.26549,0.86822,0.25,0.41167,0.25164,1.40199,2.41304,1.16738,0.000317,0.000317,0.000317
87,202.806,1.21703,2.02097,1.1326,0.86822,0.25,0.41167,0.25164,1.40199,2.41304,1.16738,0.0002972,0.0002972,0.0002972
88,205.069,1.39896,2.13855,1.2619,0.86822,0.25,0.41167,0.25164,1.40199,2.41304,1.16738,0.0002774,0.0002774,0.0002774
89,207.37,1.6425,2.17539,1.39903,0.86822,0.25,0.41167,0.25164,1.40199,2.41304,1.16738,0.0002576,0.0002576,0.0002576
90,209.667,1.30288,1.94785,1.19306,0.9137,0.25,0.41167,0.2505,1.40888,2.35958,1.16166,0.0002378,0.0002378,0.0002378
91,211.977,1.46493,2.31341,1.26157,0.9137,0.25,0.41167,0.2505,1.40888,2.35958,1.16166,0.000218,0.000218,0.000218
92,214.242,1.36176,2.53208,1.29369,0.9137,0.25,0.41167,0.2505,1.40888,2.35958,1.16166,0.0001982,0.0001982,0.0001982
93,216.497,1.1578,2.36577,1.24051,0.9137,0.25,0.41167,0.2505,1.40888,2.35958,1.16166,0.0001784,0.0001784,0.0001784
94,218.777,1.35747,2.56837,1.27167,0.32606,0.75,0.46375,0.32138,1.42394,2.23798,1.15625,0.0001586,0.0001586,0.0001586
95,221.043,1.23365,2.39972,1.28096,0.32606,0.75,0.46375,0.32138,1.42394,2.23798,1.15625,0.0001388,0.0001388,0.0001388
96,223.273,1.35741,2.55818,1.3501,0.32606,0.75,0.46375,0.32138,1.42394,2.23798,1.15625,0.000119,0.000119,0.000119
97,225.543,1.41297,2.65247,1.22737,0.32606,0.75,0.46375,0.32138,1.42394,2.23798,1.15625,9.92e-05,9.92e-05,9.92e-05
98,227.853,1.55357,2.74434,1.39992,0.65014,0.5,0.53667,0.37361,1.47431,2.16546,1.1684,7.94e-05,7.94e-05,7.94e-05
99,230.169,1.2213,2.43086,1.20755,0.65014,0.5,0.53667,0.37361,1.47431,2.16546,1.1684,5.96e-05,5.96e-05,5.96e-05
100,232.45,1.33914,2.61047,1.28711,0.65014,0.5,0.53667,0.37361,1.47431,2.16546,1.1684,3.98e-05,3.98e-05,3.98e-05
