epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,216.487,0.96267,2.62316,0.02269,0.98986,1,0.995,0.77272,0.98947,5.21887,0.02658,0.0006932,0.0006932,0.0006932
68,219.753,0.87923,2.13569,0.0197,0.99357,1,0.995,0.75699,1.07099,5.2087,0.03046,0.0006734,0.0006734,0.0006734
69,222.843,0.98931,2.6041,0.02311,0.99357,1,0.995,0.75699,1.07099,5.2087,0.03046,0.0006536,0.0006536,0.0006536
70,225.835,1.02867,2.4085,0.02271,0.99357,1,0.995,0.75699,1.07099,5.2087,0.03046,0.0006338,0.0006338,0.0006338
71,229.011,0.95776,2.76431,0.0254,0.99492,1,0.995,0.73102,1.08032,5.17638,0.03068,0.000614,0.000614,0.000614
72,232.256,1.05642,2.69747,0.02257,0.99492,1,0.995,0.73102,1.08032,5.17638,0.03068,0.0005942,0.0005942,0.0005942
73,235.526,0.9009,2.62289,0.02163,1,0.98799,0.995,0.76778,0.97036,5.04477,0.02506,0.0005744,0.0005744,0.0005744
74,238.82,0.9425,2.8289,0.01985,1,0.98799,0.995,0.76778,0.97036,5.04477,0.02506,0.0005546,0.0005546,0.0005546
75,241.918,1.01702,2.86247,0.02504,1,0.98799,0.995,0.76778,0.97036,5.04477,0.02506,0.0005348,0.0005348,0.0005348
76,245.124,0.91993,2.19362,0.01861,1,0.99259,0.995,0.77235,0.9303,4.92687,0.0239,0.000515,0.000515,0.000515
77,248.371,0.82955,2.47765,0.01854,1,0.99259,0.995,0.77235,0.9303,4.92687,0.0239,0.0004952,0.0004952,0.0004952
78,251.524,1.02863,3.07721,0.02651,1,0.99259,0.995,0.77235,0.9303,4.92687,0.0239,0.0004754,0.0004754,0.0004754
79,254.863,0.81627,2.17947,0.01614,1,0.99655,0.995,0.76776,0.95963,4.86027,0.02564,0.0004556,0.0004556,0.0004556
80,258.208,0.71627,2.51822,0.01686,1,0.99655,0.995,0.76776,0.95963,4.86027,0.02564,0.0004358,0.0004358,0.0004358
81,261.472,0.9099,2.62571,0.023,1,0.99811,0.995,0.78233,0.88544,4.75279,0.02309,0.000416,0.000416,0.000416
82,264.701,0.86357,2.4809,0.0206,1,0.99811,0.995,0.78233,0.88544,4.75279,0.02309,0.0003962,0.0003962,0.0003962
83,268.154,0.99726,2.88149,0.02417,1,0.99811,0.995,0.78233,0.88544,4.75279,0.02309,0.0003764,0.0003764,0.0003764
84,271.307,0.9734,2.55791,0.02356,1,0.99549,0.995,0.81888,0.78359,4.64089,0.01912,0.0003566,0.0003566,0.0003566
85,274.481,0.81736,2.16392,0.0171,1,0.99549,0.995,0.81888,0.78359,4.64089,0.01912,0.0003368,0.0003368,0.0003368
86,278.074,0.89776,2.63457,0.02089,1,0.99549,0.995,0.81888,0.78359,4.64089,0.01912,0.000317,0.000317,0.000317
87,281.954,0.8455,1.99351,0.01715,1,0.99119,0.995,0.84,0.71265,4.55613,0.01653,0.0002972,0.0002972,0.0002972
88,285.385,0.83719,2.52576,0.02162,1,0.99119,0.995,0.84,0.71265,4.55613,0.01653,0.0002774,0.0002774,0.0002774
89,289.052,0.94671,2.45089,0.02506,1,0.98874,0.995,0.8468,0.71009,4.52323,0.01703,0.0002576,0.0002576,0.0002576
90,292.63,0.76719,2.19154,0.01736,1,0.98874,0.995,0.8468,0.71009,4.52323,0.01703,0.0002378,0.0002378,0.0002378
91,296.165,1.07031,5.05107,0.03612,1,0.98874,0.995,0.8468,0.71009,4.52323,0.01703,0.000218,0.000218,0.000218
92,299.777,0.9906,4.75857,0.03369,1,0.98908,0.995,0.8451,0.72319,4.4979,0.01803,0.0001982,0.0001982,0.0001982
93,303.436,1.02046,4.67341,0.03536,1,0.98908,0.995,0.8451,0.72319,4.4979,0.01803,0.0001784,0.0001784,0.0001784
94,307.021,0.95875,4.85575,0.03254,1,0.98908,0.995,0.8451,0.72319,4.4979,0.01803,0.0001586,0.0001586,0.0001586
95,310.629,0.90208,4.7251,0.03031,1,0.99145,0.995,0.83299,0.75235,4.50166,0.01937,0.0001388,0.0001388,0.0001388
96,314.114,0.85507,4.60445,0.03076,1,0.99145,0.995,0.83299,0.75235,4.50166,0.01937,0.000119,0.000119,0.000119
97,317.66,1.02911,4.65969,0.03706,1,0.99525,0.995,0.83147,0.75415,4.49967,0.0197,9.92e-05,9.92e-05,9.92e-05
98,321.083,0.96862,4.84924,0.03248,1,0.99525,0.995,0.83147,0.75415,4.49967,0.0197,7.94e-05,7.94e-05,7.94e-05
99,324.548,0.82377,4.76642,0.0274,1,0.99525,0.995,0.83147,0.75415,4.49967,0.0197,5.96e-05,5.96e-05,5.96e-05
100,328.125,1.02398,4.82777,0.0385,1,0.99859,0.995,0.81084,0.76309,4.51702,0.02023,3.98e-05,3.98e-05,3.98e-05
